id,nameCol,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8
zipcode,10001,0.0688144788146019,0.028435243293642998,0.0017287734663113952,0,0.44899842143058777,0.19145432114601135,0.23490101099014282,0.025667738169431686
zipcode,10002,0.22309976816177368,0.03895815461874008,0.0024392663035541773,3.5418805782683194e-4,0.2693347632884979,0.21035562455654144,0.25451719760894775,9.410689817741513e-4
zipcode,10003,0.15633906424045563,0.015614070929586887,0,0,0.4483596384525299,0.17811566591262817,0.20157155394554138,0
zipcode,10026,0.1954393982887268,0.02217131294310093,5.045076832175255e-4,0,0.3686339855194092,0.16964197158813477,0.24360881745815277,0
zipcode,10004,0.13210393488407135,0.041208259761333466,0.003613049630075693,0.004865442868322134,0.3550451397895813,0.20307698845863342,0.26008719205856323,0
zipcode,10005,0.02823600172996521,0.008028560318052769,0,0,0.5102300047874451,0.21984046697616577,0.23366492986679077,0
zipcode,10006,0.09610170871019363,0.01817149482667446,0,0,0.3548586964607239,0.20775070786476135,0.3231174051761627,0
zipcode,10007,0.13005739450454712,0.02082429639995098,0,0,0.3949168622493744,0.21681326627731323,0.23738814890384674,0
zipcode,10009,0.2789471745491028,0.047453563660383224,0.0028943342622369528,8.109296904876828e-4,0.2838699519634247,0.1432110220193863,0.24281306564807892,0
zipcode,10010,0.14493364095687866,0.017901862040162086,2.0314099674578756e-4,7.815119461156428e-4,0.4093887209892273,0.2128015160560608,0.21398964524269104,0
zipcode,10011,0.14602184295654297,0.0239971075206995,0,1.5469835489057004e-4,0.46358609199523926,0.1727130264043808,0.1935272514820099,0
zipcode,10012,0.12636977434158325,0.01652572862803936,0.004438539035618305,0,0.48049110174179077,0.1759999841451645,0.19617484509944916,0
zipcode,10013,0.061895210295915604,0.013882800005376339,0,5.491326191986445e-6,0.47026607394218445,0.24031589925289154,0.21363450586795807,0
zipcode,10014,0.17168331146240234,0.01956644095480442,0,1.0495367314433679e-4,0.4085904359817505,0.19290223717689514,0.20715263485908508,0
zipcode,10016,0.1355164349079132,0.026785200461745262,0.0032632150687277317,5.199929000809789e-5,0.42646002769470215,0.2044329047203064,0.2034902423620224,0
zipcode,10017,0.09441402554512024,0.012572051025927067,0,5.244879284873605e-4,0.4748203754425049,0.20850859582424164,0.2091604620218277,0
zipcode,10018,0.03095119073987007,0.005247514694929123,0,1.1285564687568694e-4,0.4626021981239319,0.2564280033111572,0.2424292415380478,0.002228992059826851
zipcode,10030,0.18946559727191925,0.017995560541749,0,0,0.3663861155509949,0.17319051921367645,0.252962201833725,0
zipcode,10019,0.0845983475446701,0.011664974503219128,7.880012162786443e-7,3.13396958517842e-5,0.49025192856788635,0.20373733341693878,0.20954492688179016,1.7033844778779894e-4
zipcode,10021,0.15509797632694244,0.009749015793204308,0,4.4363041524775326e-4,0.46571746468544006,0.1695869117975235,0.1994049996137619,0
zipcode,10022,0.0984107106924057,0.009056886658072472,0,2.681393234524876e-4,0.46647217869758606,0.22449089586734772,0.2013012021780014,0
zipcode,10023,0.18599162995815277,0.018029838800430298,1.401096596964635e-5,0,0.4120681583881378,0.16363784670829773,0.22025851905345917,0
zipcode,10024,0.3866783082485199,0.05676431953907013,0.0018096419516950846,6.073873373679817e-4,0.2404138296842575,0.14459213614463806,0.1673746407032013,0.001759745180606842
zipcode,10025,0.24815325438976288,0.035007379949092865,8.962109568528831e-4,7.757478160783648e-4,0.34161877632141113,0.15105606615543365,0.22249257564544678,0
zipcode,10027,0.2062705159187317,0.046645473688840866,0.001964558381587267,2.018583290919196e-5,0.3262200653553009,0.16341625154018402,0.24911469221115112,0.006348217371851206
zipcode,10028,0.1761440932750702,0.0073036933317780495,0,2.1575413120444864e-4,0.4574623703956604,0.16575400531291962,0.1931200921535492,0
zipcode,10029,0.24467898905277252,0.04335714131593704,0.0024728120770305395,8.101913408609107e-5,0.2816091775894165,0.17429669201374054,0.2405778467655182,0.012926322408020496
zipcode,10031,0.22201590240001678,0.04006633907556534,0.0034045781940221786,6.382101564668119e-4,0.2941851019859314,0.1660710871219635,0.2606711685657501,0.012947623617947102
zipcode,10032,0.2271871417760849,0.05091287940740585,0.0023843899834901094,2.153470559278503e-4,0.29088109731674194,0.1952202320098877,0.22491919994354248,0.008279696106910706
zipcode,10033,0.26321375370025635,0.03620009869337082,0.002346507040783763,2.1742699027527124e-4,0.27709901332855225,0.20891369879245758,0.21179378032684326,2.157156850444153e-4
zipcode,10034,0.4109496772289276,0.06636753678321838,0.01004644762724638,0.0020846151746809483,0.1598120629787445,0.10712428390979767,0.20267872512340546,0.040936678647994995
zipcode,10037,0.23560017347335815,0.043288420885801315,0.0011928323656320572,6.366660236380994e-4,0.24678023159503937,0.19448021054267883,0.26752471923828125,0.010496762581169605
zipcode,10035,0.15027858316898346,0.19972172379493713,0.03200604021549225,0.0015201098285615444,0.15734370052814484,0.1731989085674286,0.27117863297462463,0.014752316288650036
zipcode,10036,0.0712597668170929,0.013016289100050926,0,0,0.5101499557495117,0.1937328726053238,0.20989945530891418,0.0019416498253121972
zipcode,10038,0.1314854472875595,0.030001424252986908,0.0023123605642467737,0.0018021573778241873,0.3253960907459259,0.2685057520866394,0.24049678444862366,0
zipcode,10040,0.25928351283073425,0.03368140384554863,0,0,0.31277984380722046,0.15609091520309448,0.23661090433597565,0.0015534432604908943
zipcode,11104,0.24519315361976624,0.032735154032707214,0,0,0.3186168074607849,0.13305485248565674,0.2407957911491394,0.029604244977235794
zipcode,11105,0.12079396843910217,0.08198326081037521,0.0011850197333842516,0.004746592603623867,0.24413937330245972,0.14370465278625488,0.39529481530189514,0.008152296766638756
zipcode,10039,0.3425937592983246,0.06706610321998596,0.00807169359177351,0.0011355438036844134,0.16250018775463104,0.18507856130599976,0.2326948344707489,8.593076490797102e-4
zipcode,10128,0.22621950507164001,0.01819169521331787,0,0.0014106378657743335,0.38592126965522766,0.1721787452697754,0.1960781365633011,0
zipcode,10044,0.22504134476184845,0.16521146893501282,0.05351514741778374,0.007247346919029951,0.1701328158378601,0.11349132657051086,0.2653605341911316,0
zipcode,10065,0.1706412434577942,0.012613714672625065,6.740994285792112e-4,1.808745291782543e-4,0.4515903890132904,0.17046348750591278,0.19383618235588074,0
zipcode,10069,0.056224778294563293,0.18657296895980835,0.004418561700731516,0.003128089476376772,0.22444157302379608,0.24432030320167542,0.2808877229690552,5.991190846543759e-6
zipcode,10075,0.1846841275691986,0.006943447515368462,0,2.4526674678782e-5,0.43715590238571167,0.17193424701690674,0.19925770163536072,0
zipcode,10280,0.26440444588661194,0.05921808257699013,0,0.0013608630979433656,0.28408339619636536,0.1306723803281784,0.26026085019111633,0
zipcode,10282,0.23957687616348267,0.1206262931227684,0,0,0.22298108041286469,0.17204800248146057,0.24476774036884308,0
zipcode,10301,0.38995662331581116,0.18151222169399261,0.003941812552511692,0.028383644297719002,0.12963640689849854,0.09673546254634857,0.16898289322853088,8.509338949806988e-4
zipcode,11106,0.17074649035930634,0.047274552285671234,2.768882841337472e-4,0.0015602969797328115,0.3413972556591034,0.13166634738445282,0.30016013979911804,0.006918047089129686
zipcode,10302,0.19627302885055542,0.1498764157295227,0.007864740677177906,0.0014933233615010977,0.20240409672260284,0.130414217710495,0.30884918570518494,0.002825003582984209
zipcode,10303,0.21785172820091248,0.22996410727500916,0.010644614696502686,0.03760859742760658,0.1069176197052002,0.0974796786904335,0.2880150079727173,0.011518693529069424
zipcode,10304,0.3661959767341614,0.1972520351409912,0.004231499042361975,0.005855630151927471,0.1333472579717636,0.10525724291801453,0.18302704393863678,0.004833346698433161
zipcode,10451,0.13619887828826904,0.051801227033138275,0.006692894734442234,0.0082491934299469,0.2726544439792633,0.18529528379440308,0.30800557136535645,0.031102478504180908
zipcode,10305,0.20549330115318298,0.24187472462654114,0.04840730130672455,0.013054313138127327,0.12750206887722015,0.13302762806415558,0.22824370861053467,0.002396973082795739
zipcode,10306,0.3736446499824524,0.2648569941520691,0.01518414169549942,0.014566565863788128,0.10024825483560562,0.08171194046735764,0.14733737707138062,0.0024500982835888863
zipcode,10307,0.32819411158561707,0.23921813070774078,0.02273731678724289,0.009980028495192528,0.11794248968362808,0.08939933776855469,0.1886819303035736,0.003846669802442193
zipcode,10308,0.2778002917766571,0.17270979285240173,0.0032467630226165056,0.006124541629105806,0.17385421693325043,0.13360163569450378,0.2293117791414261,0.003350987331941724
zipcode,10309,0.4278581440448761,0.18928277492523193,0.01759875752031803,0.011394759640097618,0.08743521571159363,0.09579933434724808,0.1689319908618927,0.0016989762661978602
zipcode,10310,0.27884289622306824,0.17137998342514038,0.00153244542889297,0.0031106562819331884,0.18646042048931122,0.1111387312412262,0.24638114869594574,0.0011537065729498863
zipcode,10312,0.38026028871536255,0.2213861346244812,0.009528564289212227,0.02006417140364647,0.1056939885020256,0.10873779654502869,0.15272273123264313,0.0016063142102211714
zipcode,10314,0.2413383275270462,0.3290289342403412,0.0321907177567482,0.06474969536066055,0.08578857779502869,0.09378166496753693,0.151631161570549,0.0014908917946740985
zipcode,10456,0.18787099421024323,0.04546518996357918,0.0011091195046901703,0,0.30221468210220337,0.1662660390138626,0.28960317373275757,0.007470794953405857
zipcode,10452,0.17016923427581787,0.04997318983078003,0.0017185444012284279,3.4845934715121984e-4,0.28389638662338257,0.19660751521587372,0.2589647173881531,0.03832195699214935
zipcode,10453,0.1697753667831421,0.05546516925096512,0.0017389231361448765,1.4848039427306503e-4,0.29124465584754944,0.1758929044008255,0.28569495677948,0.020039523020386696
zipcode,10454,0.11875603348016739,0.04613744094967842,0.02085658349096775,0.0019078283803537488,0.2749897539615631,0.19419699907302856,0.30733972787857056,0.03581560403108597
zipcode,10455,0.1636163294315338,0.05989687517285347,0.003356529865413904,0,0.28987908363342285,0.1920730173587799,0.2834918200969696,0.0076863388530910015
zipcode,10457,0.12438094615936279,0.038925305008888245,9.626063401810825e-4,0,0.31653568148612976,0.20273146033287048,0.3042762875556946,0.012187720276415348
zipcode,10458,0.16379256546497345,0.046340394765138626,0.0016297618858516216,0,0.3116239011287689,0.17696747183799744,0.28999149799346924,0.009654414840042591
zipcode,10459,0.14794035255908966,0.06649148464202881,0.0020130742341279984,0.017261303961277008,0.2737979292869568,0.18010228872299194,0.28497079014778137,0.02742275781929493
zipcode,10460,0.24814166128635406,0.07027730345726013,0.001560231321491301,0.003998463042080402,0.22615331411361694,0.16346663236618042,0.26043328642845154,0.02596905268728733
