LOCALITY_,PRIME_DPS_,NAME,PRINT_NAME,NAME_2,POPULATION,PERIM_FT,AREA_SQ_FT,SOURCE,UPDATE_,NOTES,SHAPE_AREA,SHAPE_LEN,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8
205,59454,Port Leyden village,Port Leyden,T Leyden,505,17914,NA,NGRID,2000,NA,1700492.08871,5460.32484344,0,0,0,0,0,0,0,0
206,73814,Thurman town,Thurman,NA,1179,268489,NA,NGRID,2000,NA,240861424.284,81836.7771228,0,0,0,0,0,0,0,0
207,59960,Pulaski village,Pulaski,NA,2057,39093,NA,NGRID,2000,NA,8861919.21119,11915.6584313,0,0,0,0,0,0,0,0
209,17882,Constableville village,Constableville,NA,295,22385,NA,NGRID,2000,NA,2895653.22803,6822.94708376,0,0,0,0,0,0,0,0
210,01055,Albion town,Albion,NA,1747,196576,NA,NGRID,2000,NA,118119400.2,59917.7453892,0,0,0,0,0,0,0,0
212,42125,Lewis town,Lewis,NA,855,183989,NA,NGRID,2000,NA,168726396.956,56080.8534139,0,0,0,0,0,0,0,0
216,01550,Altmar village,Altmar,NA,340,38781,NA,NGRID,2000,NA,5669178.89955,11820.7748302,0,0,0,0,0,0,0,0
217,40519,Lake George town,Lake George,NA,2557,166064,NA,NGRID,2000,NA,86327731.627,50616.6616416,0,0,0,0,0,0,0,0
219,60873,Redfield town,Redfield,NA,607,223069,NA,NGRID,2000,NA,241734795.51,67992.7037887,0,0,0,0,0,0,0,0
222,71641,Stony Creek town,Stony Creek,NA,743,224688,NA,NGRID,2000,NA,214874135.938,68485.895971,0,0,0,0,0,0,0,0
224,26297,Florence town,Florence,NA,1122,161145,NA,NGRID,2000,NA,143319141.818,49118.1915005,0,0,0,0,0,0,0,0
225,03309,Ava town,Ava,NA,749,159393,NA,NGRID,2000,NA,97562254.9182,48583.9180771,0,0,0,0,0,0,0,0
226,46811,Mexico village,Mexico,NA,1581,30878,NA,NGRID,2000,NA,5523808.07572,9411.70372099,0,0,0,0,0,0,0,0
227,56352,Parish town,Parish,NA,2252,163303,NA,NGRID,2000,NA,105122622.192,49776.0432461,0,0,0,0,0,0,0,0
154,00210,Adams town,Adams Center,NA,3376,155135,NA,NGRID,2000,NA,106186466.87,47284.781051,0,0,0,0,0,0,0,0
156,50001,New Bremen town,New Bremen,NA,2405,197090,NA,NGRID,2000,NA,143610679.361,60072.8358419,0,0,0,0,0,0,0,0
159,19070,Croghan village,Croghan,T New Bremen,640,17047,NA,NGRID,2000,NA,1130483.60911,5195.98932331,0,0,0,0,0,0,0,0
163,43731,Lowville town,Lowville,NA,1373,186709,NA,NGRID,2000,NA,93937854.6323,56909.6151135,0,0,0,0,0,0,0,0
294,82040,Williamson town,Williamson,NA,6578,126655,NA,RGE,2000,NA,89599833.6334,38605.7086806,0,0,0,0,0,0,0,0
296,68220,Sodus town,Sodus,NA,6316,229629,NA,RGE,2000,NA,168337116.197,69993.655899,0,0,0,0,0,0,0,0
298,55013,Ontario town,Ontario,NA,9653,120948,NA,RGE,2000,NA,83402224.6399,36866.0568068,0,0,0,0,0,0,0,0
299,78971,Webster town,Webster,NA,32856,186941,NA,RGE,2000,NA,83742314.5464,56981.0610371,0,0,0,0,0,0,0,0
303,26385,Floyd town,Floyd,NA,3849,141738,NA,NGRID,2000,NA,90054835.2611,43202.5803448,0,0,0,0,0,0,0,0
304,68242,Sodus Point village,Sodus Point,NA,663,49709,NA,RGE,2000,NA,3665801.61966,15151.9198466,0,0,0,0,0,0,0,0
309,18223,Corinth town,Corinth,NA,3523,199803,NA,NGRID,2000,NA,147593038.143,60900.512297,0,0,0,0,0,0,0,0
310,53968,Norway town,Norway,NA,726,132196,NA,NGRID,2000,NA,92805189.846,40293.9609298,0,0,0,0,0,0,0,0
313,04528,Barneveld village,Barneveld,NA,246,10249,4272577,NGRID,2000,NA,396937.967993,3123.93221485,0,0,0,0,0,0,0,0
316,35155,Holley village,Holley,NA,1558,27782,NA,Municipal,2000,NA,3233553.76718,8468.07230143,0,0,0,0,0,0,0,0
318,60829,Red Creek village,Red Creek,NA,518,20495,NA,RGE,2000,NA,2439658.55831,6246.93667451,0,0,0,0,0,0,0,0
319,46998,Middleport village,Middleport,T Royalton,1815,24260,NA,NGRID,2000,NA,2264292.37356,7394.5218065,0,0,0,0,0,0,0,0
320,66751,Shelby town,Shelby,NA,2658,153738,NA,NGRID,2000,NA,117304646.216,46859.7039574,0,0,0,0,0,0,0,0
321,37660,Ira town,Ira,NA,2173,131292,NA,RGE,2000,NA,88727408.7039,40019.1008748,0,0,0,0,0,0,0,0
322,77420,Victory town,Victory,NA,1794,124146,NA,RGE,2000,NA,89327750.8093,37841.1906869,0,0,0,0,0,0,0,0
325,08466,Brockport village,Brockport,NA,7567,52276,NA,NGRID,2000,NA,5745143.51188,15933.9949907,0,0,0,0,0,0,0,0
