id,nameCol,nameAlt,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8
nta,Greenpoint,BK0101,0.10282272100448608,0.02364414930343628,0.004990999586880207,0.0010117285419255495,0.36960434913635254,0.14033010601997375,0.35759595036506653,0
nta,Williamsburg,BK0102,0.13176694512367249,0.032233767211437225,0.008143645711243153,0.0013133779866620898,0.3425239622592926,0.1697373390197754,0.30931922793388367,0.004961702972650528
nta,South Williamsburg,BK0103,0.1841929703950882,0.02550184726715088,7.91838567238301e-4,0,0.3442446291446686,0.17954587936401367,0.2581981122493744,0.007524710148572922
nta,East Williamsburg,BK0104,0.09388302266597748,0.022516755387187004,0.0037982312496751547,8.577198605053127e-4,0.3323962092399597,0.1608109474182129,0.38224440813064575,0.003492722287774086
nta,Brooklyn Heights,BK0201,0.2416965216398239,0.028313089162111282,0.004613425582647324,0.002169323619455099,0.3790263235569,0.1250281035900116,0.21915319561958313,0
nta,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,0.18049116432666779,0.03519575670361519,8.17724852822721e-4,0.001097504748031497,0.33987465500831604,0.19645173847675323,0.24607086181640625,6.531432745759957e-7
nta,Fort Greene,BK0203,0.2664027512073517,0.050271712243556976,0.005682081449776888,0,0.2883235812187195,0.14383932948112488,0.24548056721687317,0
nta,Clinton Hill,BK0204,0.2688433527946472,0.034372199326753616,5.8902027376461774e-5,0,0.3119540512561798,0.1374984234571457,0.2472730576992035,0
nta,Brooklyn Navy Yard,BK0261,0.07853256911039352,0.034736908972263336,0.01854546181857586,0.009104665368795395,0.21464183926582336,0.17611193656921387,0.468326598405838,0
nta,Bedford-Stuyvesant (West),BK0301,0.20619183778762817,0.025776609778404236,0.00115686166100204,0,0.33608415722846985,0.13459831476211548,0.29604944586753845,1.4272195403464139e-4
nta,Bedford-Stuyvesant (East),BK0302,0.23367469012737274,0.03694244846701622,1.1867407738463953e-4,0,0.31136319041252136,0.12554019689559937,0.2876005172729492,0.00476026302203536
nta,Bushwick (West),BK0401,0.11747848987579346,0.024090299382805824,9.174288716167212e-4,0,0.39093631505966187,0.14091552793979645,0.31236574053764343,0.013296181336045265
nta,Bushwick (East),BK0402,0.18455205857753754,0.03478162735700607,0.0013231605989858508,0,0.339895099401474,0.1206262931227684,0.3034888505935669,0.01533289160579443
nta,The Evergreens Cemetery,BK0471,0.33970338106155396,0.5519357323646545,0.016365598887205124,0,0.007751733995974064,0.05276564881205559,0.031442951411008835,3.489006485324353e-5
nta,Cypress Hills,BK0501,0.1768370270729065,0.03590448573231697,9.991055121645331e-4,0,0.30952051281929016,0.12988057732582092,0.32355090975761414,0.0233074352145195
